Артикул,01.06.2020,01.07.2020,01.08.2020,01.09.2020,01.10.2020,01.11.2020,01.12.2020,01.01.2021,01.02.2021,01.03.2021,01.04.2021,01.05.2021,01.06.2021,01.07.2021,01.08.2021,01.09.2021,01.10.2021,01.11.2021,01.12.2021,01.01.2022,01.02.2022,01.03.2022,01.04.2022,01.05.2022,01.06.2022,01.07.2022,01.08.2022,01.09.2022,01.10.2022,01.11.2022,01.12.2022,01.01.2023,01.02.2023,01.03.2023,01.04.2023,01.05.2023,01.06.2023,01.07.2023,01.08.2023
4488,2,39,36,45,36,16,35,39,50,60,43,44,20,27,38,50,27,23,33,56,63,76,30,41,30,20,19,6,21,14,10,25,11,112,29,22,9,8,4
4489,32,19,7,18,17,6,14,10,18,17,45,50,32,54,27,16,23,35,26,36,26,23,12,38,49,30,21,18,19,10,29,7,22,24,33,20,7,11,14
4490,5,3,6,2,4,4,6,1,8,5,4,7,1,4,3,10,5,4,3,5,5,2,1,3,1,1,2,,1,3,21,2,5,4,3,,1,,3
4491,4,3,,,1,4,10,3,15,22,19,11,6,5,3,5,2,8,4,8,19,22,14,11,8,5,5,4,3,2,28,8,8,21,11,4,2,,1
4492,7,4,,,2,5,9,6,18,20,17,12,7,6,3,5,2,8,6,7,22,20,13,9,8,5,5,2,2,2,11,10,31,15,9,6,5,1,1
4493,,1,1,,,1,5,2,3,1,,,,,1,,1,1,2,1,4,,1,,,2,,,,3,,1,4,4,,1,,,
4494,,,1,,,1,,1,5,2,,1,,,,3,1,1,2,10,1,4,,,,,,,1,,,,4,5,1,3,,,
4495,1,3,,1,,,,,1,1,,2,7,3,,,,1,,,,3,,,,,,,2,,2,3,,,,1,1,,1
4496,,,,2,,,,,1,,,,,,,,,,1,,2,3,1,,,2,3,,,,,2,1,4,1,,,,
4497,,1,4,3,1,6,8,4,12,12,6,3,4,4,,,3,1,14,5,12,10,,,7,2,3,9,10,1,7,11,11,12,3,5,1,2,2
4498,6,8,4,4,,5,10,4,10,8,7,2,10,,6,6,3,6,12,14,10,4,4,,2,4,10,9,4,4,4,32,11,8,3,12,5,4,
4499,,6,3,,,,,,,,,,,,,,,2,20,,12,,4,,,,,,,,11,,14,63,2,4,4,4,
4500,2,,2,5,3,,7,4,1,5,1,2,,1,4,,1,,1,9,5,,1,,1,1,,2,3,1,1,5,6,1,3,1,2,,1
4501,,1,1,1,2,2,3,,1,3,,3,,1,,1,1,1,2,1,3,2,1,,,1,,1,,2,,1,2,2,,,2,,
4502,-4,37,33,48,41,43,45,23,34,82,41,36,20,33,27,57,76,27,52,71,50,46,27,28,25,11,25,20,23,12,9,22,58,81,21,19,3,6,11
4503,16,41,70,50,83,8,69,72,47,78,69,39,21,30,97,110,87,28,32,61,80,46,30,23,10,14,28,49,37,22,35,26,39,148,48,41,24,1,25
4504,2,6,3,2,2,,2,,3,,5,1,,1,3,4,5,1,1,,2,1,,,1,3,4,4,,,11,,,3,1,,2,,1
4505,14,5,1,3,,,1,5,6,4,5,5,6,2,,1,,,3,2,,2,4,4,3,3,,2,,1,1,2,,11,1,3,1,2,1
4506,1,1,,,,,1,,2,,,,,,,1,,,,,,,2,,1,,,,2,1,,1,2,,,,,,
4507,1,1,,,1,,2,1,2,1,,,1,1,,2,,,1,,,,2,1,2,2,,1,1,1,3,,3,3,,,,,1
4508,,4,,4,,,,4,6,,,,,,,,4,,4,4,4,10,3,,4,,,,,,,,12,10,32,4,,,
4509,5,15,11,9,10,9,20,11,12,16,7,8,5,7,3,9,16,17,15,20,15,9,10,2,6,5,13,12,6,12,39,22,19,14,15,8,8,,4
4510,,,10,5,4,3,,8,5,7,8,14,2,,1,1,,6,5,8,9,6,4,,,2,,,10,,,8,9,22,3,8,14,1,
4511,,,,,,,3,1,,,1,1,,,,,,,,3,,,,,,1,,,,,1,2,5,,,,,,
4512,,,,,,,2,2,26,,2,2,,,,,,,4,8,4,-2,,,,,2,,,3,,,2,2,8,2,2,4,
4513,,2,2,2,1,1,,1,1,2,1,1,,1,,2,3,2,5,2,4,,1,1,,1,6,2,1,4,2,,5,2,2,1,3,4,1
4514,,1,1,,,,1,3,3,,,,,,2,,3,,1,,,,,,,,,,1,,,2,1,1,,,1,1,
4515,,2,2,1,1,,3,1,8,1,,,2,,1,,1,2,1,6,3,1,,,,,1,,,1,1,6,8,,3,,2,,1
4516,,1,1,,,1,4,3,7,,1,1,1,1,3,1,1,2,2,3,2,1,1,,,1,1,,1,1,,,7,,,3,3,,
4517,-22,116,110,188,142,86,48,58,141,143,101,97,42,69,104,136,213,89,120,161,152,130,81,55,70,54,118,122,123,47,40,27,27,33,31,14,28,10,15
4518,,,,,1,,,,,,,,,1,2,,,,,,,,,,1,,1,1,1,,,2,,,1,1,,,1
4519,6,15,17,11,4,12,12,9,15,18,11,10,5,5,12,9,6,4,28,11,12,12,3,,3,5,9,7,8,2,12,7,17,7,1,10,3,3,3
4520,1,4,1,2,6,5,3,3,11,5,4,1,4,4,1,1,2,1,7,14,5,3,2,1,2,1,2,2,1,,6,2,3,12,2,1,7,7,4
4521,2,,1,,,1,1,2,4,1,,2,,1,,,,2,1,5,2,,,,1,,2,1,1,,,1,1,1,,,1,1,
4522,,,,,,,,,2,,,,1,,1,,,1,,1,,,,,,,,1,,,,,,1,,,1,1,
4523,1,2,1,1,3,2,1,3,11,10,6,2,1,2,1,1,2,,6,8,4,2,4,1,1,1,2,4,1,,2,12,3,4,,1,4,4,4
4524,1,,2,,,,,2,,3,1,1,1,1,,,2,,,,,,,,,2,2,2,,2,1,,,2,1,,1,1,1
4525,1,1,3,1,,,,,1,,1,1,,1,1,,,,,,1,,,,,1,,1,,1,2,1,,,,,2,1,
4526,2,1,1,4,2,1,,4,2,2,3,1,2,,1,1,,2,2,4,5,3,,,1,1,3,,3,2,4,,5,3,1,5,4,1,2
4527,,,,,,,1,1,3,2,1,,,1,,1,1,,1,,1,,1,1,1,,,1,,,,,7,1,1,1,,,
4528,,,,,,,3,3,1,1,3,,,,,,,,1,,1,,,,,1,,1,1,,5,,4,,,,,,
4529,,2,2,,4,2,6,,1,,,,2,2,,,,,,,2,,,,,2,1,,,,5,,1,1,,5,,,
4530,,1,,1,,1,1,2,2,6,1,,,1,1,1,1,1,3,2,3,1,2,1,,,,,1,,,3,1,1,2,1,,,4
4531,,,,,,,,1,5,,,1,,,,,,,1,4,1,,,1,,,1,1,,,2,,1,3,,2,2,,1
4532,,,1,2,,4,3,2,,1,,1,1,1,1,,,1,1,,2,2,,,2,,,,,1,,1,,3,,2,,,
4533,,,,,,,1,1,,1,,,,,,,1,,,4,2,,,,,,,,1,,1,1,1,1,,,,,
4534,1,,3,2,4,5,3,3,3,5,1,11,1,2,,3,1,4,5,10,10,3,,1,,,2,1,8,,1,3,12,19,10,12,6,5,1
4535,,3,3,,1,2,1,3,2,1,2,4,,,1,3,1,1,3,3,4,,,,,,2,,1,,1,2,4,2,1,,,,
4536,,,,3,1,,1,,,2,,,2,1,,,1,,1,4,1,1,1,,2,,,1,1,1,,,1,10,2,,,,1
4537,,8,4,2,1,5,1,2,3,1,3,1,3,4,,5,4,7,-1,8,3,12,2,3,4,1,4,1,2,1,3,2,4,4,2,3,2,2,3
4538,8,,,4,8,18,8,26,32,38,10,,8,,6,4,4,12,16,45,20,8,4,4,4,,2,4,4,4,6,16,13,20,,12,10,6,8
4539,,,,,,,,,2,,,1,,,,1,,,,7,,1,,,,,,,,,,4,1,1,,,1,,2
4540,,,,,3,2,5,2,3,5,1,,,,2,1,2,2,5,6,5,1,2,1,,1,1,,,,2,4,4,2,2,1,,,
4541,1,,,,,,1,,,1,1,1,,1,,,1,,,,,,1,,3,,,,,,,,1,1,1,1,,,
4542,,2,,1,1,1,2,,1,1,1,2,,,,,1,,1,1,1,,1,,2,,,,,2,2,1,1,1,,,1,,
4543,,,,,1,,3,,,,1,1,,,,1,,,1,1,4,,,,,1,,1,,,,1,4,,,,,,
4544,,1,,3,5,3,6,5,1,5,4,2,2,,5,6,2,1,4,3,9,1,,,4,,2,1,2,,,1,1,6,7,,3,2,
4545,,2,,2,2,1,3,2,2,5,1,,1,,1,3,3,,2,2,5,1,2,,3,,,3,1,,1,,,5,1,4,2,5,2
4546,1,,,,,,,,1,,,,,,,1,,,,2,1,,,,,,,,,2,,,1,1,,,,,
4547,,1,2,,,3,3,,3,1,1,,,1,2,,,,5,3,3,1,,1,,1,,1,1,,2,1,2,2,2,2,2,2,
4548,2,1,2,3,2,3,2,4,10,4,,4,,4,2,2,6,2,5,6,6,3,8,2,2,1,1,1,7,3,2,7,15,4,,,3,,4
4549,1,,,1,,,1,,,,,,,,,,,,1,1,,,,,1,,,1,,,1,,1,,,1,,,1
4550,1,4,,3,1,1,5,5,5,,1,2,1,,,,2,2,4,4,8,9,4,2,5,1,6,2,1,2,7,6,5,9,2,5,2,2,
4551,,,1,,1,,,3,1,1,,1,,,,,,,,2,,,3,,,,,,,,,1,1,2,,,,,
4552,,,8,2,,,2,,2,,,,,,,,,,2,,4,,2,,1,,,,,2,,,,4,,2,2,,
4553,7,11,10,13,2,1,4,8,24,14,7,8,2,13,9,7,5,9,8,13,10,7,3,1,2,6,8,3,5,1,15,23,13,7,3,3,2,1,9
4554,8,24,19,18,16,22,29,26,36,18,9,10,18,,21,21,9,18,27,24,21,18,6,,4,13,19,33,11,18,21,7,41,22,10,21,9,15,3
4555,,,1,2,,1,,1,1,1,1,,,,,,,,1,,3,2,,,,,,1,,,,,2,1,3,1,,1,
4556,1,1,1,,3,,4,1,4,2,4,1,3,1,,,2,,,3,2,2,,,1,,,,1,,,1,5,1,2,,,,1
4557,4,,,4,,8,22,24,35,12,16,,2,4,4,,8,4,28,30,38,18,16,,15,,4,,1,2,10,3,32,15,8,12,12,,4
4558,,,,1,,,,,,,1,,,1,,,,1,,1,1,,,,,,,1,,,,,4,,2,,,,
4559,,12,,,,6,6,,,12,6,12,,6,,,6,,,6,24,6,,6,,,,,6,24,6,,6,32,,,,,6
4560,,3,1,1,1,2,,,,,3,1,,,,,1,,,2,1,2,,,,,,1,2,3,2,,2,2,,,1,,
4561,2,2,3,8,1,3,7,2,3,8,6,4,1,5,6,5,7,4,2,4,8,7,8,,2,1,6,8,6,2,8,6,5,9,2,8,5,4,2
4562,3,3,4,12,1,2,7,3,5,9,5,6,1,9,5,8,11,8,3,6,6,8,6,1,1,2,6,14,6,4,4,10,12,15,,11,8,5,5
4563,,2,,,2,,,,7,,,,,,,1,2,,2,7,6,,,,,,,,,,2,4,,,,,1,1,
4564,,1,,2,,1,,,,,,,,,,1,,1,2,1,2,1,,,1,,1,,,2,,3,2,2,,,,1,1
4565,2,12,17,13,12,8,2,2,8,16,6,6,1,6,9,12,8,10,5,7,7,4,9,2,8,8,10,3,7,8,7,1,8,4,12,1,,,3
4566,,2,1,,,1,3,1,,,,1,1,,,1,2,,1,3,2,1,,,,,,1,2,2,,,1,1,,,1,,
4567,,,1,1,1,,,,1,,,1,2,,,1,,,,,,1,,,,,3,2,1,,,,1,2,,1,2,,1
4568,17,12,17,21,17,28,50,60,92,55,28,12,13,5,22,14,20,26,66,82,80,45,16,6,15,10,11,30,21,10,36,53,79,41,51,33,19,12,11
4569,,,1,2,,,1,,2,1,4,,,3,1,1,1,,1,1,,,6,4,,1,1,,,2,3,,8,10,1,2,,,
4570,4,1,2,5,1,3,4,12,12,11,5,2,6,3,3,3,4,4,3,12,9,8,4,,2,1,2,,1,2,2,34,8,12,2,1,14,1,4
4571,,,,2,,,,1,2,,2,4,2,2,,,,,2,6,,,2,,,,,,,,,2,3,3,6,,1,,1
4572,3,2,2,1,2,,,,1,3,,1,2,,2,2,1,,1,6,3,1,1,,2,3,4,4,1,1,2,10,3,6,1,2,2,1,1
4573,,,,,,,,,2,1,,,,,,,,,,3,2,,,,,,,,,,,1,,3,1,,1,,2
4574,,,,,,,,1,,,1,,,,,,,,,,,,1,,,,,1,,,,,1,2,,,,,
4575,4,,4,4,2,,,3,,2,4,,,6,4,4,2,3,2,,3,4,,,4,,,3,,2,2,8,6,15,,4,,,1
4576,1,1,,,2,,,,1,,,,,,1,1,,,1,2,1,,,,,,,,,,,1,2,2,2,1,,,
4577,7,,9,10,2,10,10,9,20,40,20,14,8,13,16,22,19,10,13,26,43,30,23,7,8,4,12,10,20,4,15,26,61,64,14,35,6,4,4
4578,,,2,,,1,,,5,2,,,,1,,,,,1,2,5,,1,,,1,,,,,,8,5,4,7,12,,,6
4579,,14,10,1,6,6,,16,16,13,14,5,4,3,13,,20,-1,10,21,,10,5,,10,8,10,15,10,17,11,7,15,8,7,12,,4,2
4580,,1,3,2,,2,3,1,3,1,1,,,,1,2,1,1,3,1,2,1,1,,,2,2,1,1,,,,,1,,1,,,2
4581,1,2,2,3,2,,2,2,9,7,4,1,,3,2,4,1,2,7,10,1,7,3,1,3,3,2,,3,1,1,2,4,9,2,1,1,3,1
4582,10,13,9,11,5,10,8,21,14,20,3,8,10,4,15,11,4,9,12,13,16,5,6,9,5,2,9,7,6,1,11,44,25,14,9,4,9,4,3
4583,4,36,36,24,32,33,51,49,42,67,40,19,6,26,30,23,23,31,45,76,64,52,22,10,8,12,19,49,29,23,17,43,86,37,22,21,12,15,15
4584,4,20,8,12,,4,24,20,20,8,,,4,,8,4,8,8,4,16,8,12,4,,8,20,8,24,4,4,12,4,20,4,4,8,4,12,4
4585,,,,,,,2,1,2,2,2,,2,,,,2,,,,4,2,,,,,,,,,,2,3,4,,,,,
4586,3,-2,,,,1,1,1,3,5,1,,,,2,1,1,2,1,3,3,2,1,1,,,,1,,1,4,,1,3,2,,,1,
4587,,1,,,,,3,,1,,1,,,2,1,,2,,,,,,,,,,1,,1,1,6,3,,1,,,,,1
4588,,,1,,2,1,1,4,3,1,2,3,,,1,1,,,3,6,2,1,1,,1,3,1,,1,1,4,2,3,,5,1,,,
4589,,,,,,1,,,,2,1,1,,,,,,,1,,3,1,1,,,,,,1,,,4,,,1,,2,,1
4590,1,2,,,,,1,,1,1,,2,,,,,,,,1,1,,,,,,,,,1,,1,1,,1,1,,,
4591,,,3,,1,,,,1,,1,,4,,,,2,,,9,2,,3,,,2,1,1,2,,,2,2,5,1,1,,,3
4592,,2,1,,,,,2,,2,,,1,2,1,,,,,2,,,,,,1,,,1,,,,1,1,4,,,,
4593,,,,,,4,,,1,,2,,5,,,,,,1,3,,1,,,,,1,,1,,1,,,,1,,,,1
4594,1,1,1,,,,1,,,1,,,1,,1,,1,1,,,,,,,2,,,1,,1,,,,,,,1,1,1
4595,,2,2,1,,,,,,1,1,5,1,2,1,,,1,2,3,,1,,,1,1,,,,1,8,2,2,5,1,2,1,,
4596,,2,3,3,1,,2,,2,3,2,,1,,,,,1,4,2,3,1,,,,,,,1,,4,,6,11,1,,1,,1
4597,,1,1,1,,,,,1,,,,,,,1,1,1,,1,,,,,,,,1,1,1,,,1,,,,,,
4598,3,4,,3,5,1,2,2,5,11,10,4,2,2,6,3,2,,5,8,13,7,4,,1,,1,,,,,2,8,21,1,4,1,4,2
4599,2,2,3,3,2,,,,,1,,2,,2,4,2,3,1,,,2,,,1,1,2,1,1,1,,,4,1,4,,,,2,1
4600,1,1,4,4,1,1,2,4,2,7,,2,1,,2,1,1,1,,7,1,4,2,,,2,2,2,4,1,2,2,4,6,1,2,1,,2
4601,1,,,,,,1,,3,2,,,,,,,,,1,1,2,3,,,1,1,1,1,1,,,2,,,1,,2,1,
4602,1,1,1,,1,4,7,3,3,1,4,3,,,2,4,1,1,1,5,2,,2,,1,1,,4,1,,,3,8,3,2,,,,1
4603,,,,,,,,,3,,1,1,,,1,,,,1,,2,,,,,,,,,,,3,1,3,,,,,1
4604,1,1,,,1,1,,,2,2,,1,1,,2,,3,2,3,1,3,2,,,,,2,2,2,,2,5,,3,,4,,1,1
4605,1,3,4,,,1,1,6,6,5,4,,2,2,2,3,6,3,4,6,4,3,2,2,3,,1,3,2,3,7,7,6,5,2,2,1,1,2
4606,1,2,3,,1,1,,2,,1,1,,,,,,,,,1,,,,1,,,1,1,1,,,,1,,,1,1,,
4607,,,5,4,1,1,5,3,3,1,1,2,,,3,,3,2,,2,6,2,1,,,1,,1,3,1,1,3,7,5,2,1,,,1
4608,,,,2,1,,2,1,2,1,,,,1,,,1,,,1,2,,,,,,,,,,,,4,1,,,,,
4609,,,,3,,1,,1,2,1,,1,1,,,,1,,,3,1,,1,,,,,,1,1,,1,2,1,,,,1,
4610,2,56,63,56,54,22,42,68,63,79,85,73,17,48,61,56,52,43,44,119,80,69,33,25,53,32,30,22,28,19,23,23,43,68,25,8,3,1,
4611,,2,,2,1,2,,1,5,2,,1,,,3,3,1,2,1,4,2,,1,1,,,1,1,,,,5,2,8,1,2,,4,3
4612,,1,,,,,,1,3,3,1,,,,,,1,1,2,2,3,2,,,,,2,,,,1,4,2,2,1,1,,,
4613,4,1,4,2,2,1,2,12,13,13,7,1,,2,,6,,11,4,10,9,9,2,2,4,1,3,3,,,6,2,10,1,1,1,2,,
4614,,,,,,,,,1,2,,,,,,,,,1,12,,,,,,,,,,,,1,8,5,2,,,,
4615,4,,2,6,,,,4,,,,,,4,2,,2,,,4,4,,,,,2,,,1,,,7,3,,,,,1,
4616,,,1,1,1,,1,1,6,1,2,,1,1,1,,,,1,2,4,4,,,,,1,,,,2,2,,5,2,,,,
4617,3,,,1,1,,,1,,1,3,2,4,,1,,,1,1,1,3,1,1,,,,,,1,,1,2,1,1,3,4,6,,
4618,2,,,1,1,,1,5,3,1,2,1,,,1,1,,,4,3,8,1,,,1,2,,1,,2,2,11,1,2,1,,1,,1
4619,1,1,,,1,1,1,3,4,4,,1,,1,,,,,,,1,,,,,,,,,,2,,3,,8,3,,,1
4620,,1,,2,,,,,,,,1,,,,,,,,1,,,,,,,1,1,1,,,,,2,,1,,,
4621,1,4,5,4,7,4,3,3,5,,2,1,,2,1,5,5,3,,5,,4,1,3,,,5,3,2,4,4,1,4,4,7,5,,2,
4622,,1,,,,1,,1,2,2,,,,,,,,1,,,,,,,,2,-2,,,,1,,3,1,1,,,,
4623,2,1,,2,,1,1,1,5,5,3,,,1,,1,,,,4,2,2,2,,1,,,4,2,4,1,,3,2,1,,3,1,1
4624,,,,,,,,2,1,,,,,,,,,,,,,,,,,1,,,,,,2,,,,1,2,2,
4625,,,2,,,,,,,1,2,,,1,1,,,1,2,1,2,5,,,,,1,,,,1,1,,5,,,,,
4626,9,44,31,41,31,12,6,8,16,15,8,15,9,29,49,27,18,11,15,21,19,9,11,5,12,19,45,37,25,15,5,57,24,41,23,8,4,7,18
4627,,,,1,,1,1,,3,,2,,,,,,,,2,4,2,,,,,,,,2,,,4,,3,2,,1,,
4628,2,1,4,3,3,1,3,5,7,10,5,2,1,2,2,3,,1,5,9,5,3,,1,1,3,2,1,,,1,19,7,9,,,3,,2
4629,,1,,1,,,,1,,1,1,,,,,,1,,1,5,1,,1,1,,,,,1,,1,1,1,1,1,1,,1,1
4630,2,,5,5,2,1,,8,4,,1,,1,6,5,1,4,,,4,,,4,,,5,5,3,4,3,,,8,4,1,3,,,
4631,2,,,,,1,1,2,1,2,,,1,4,3,,2,1,1,2,3,,,,,,1,,1,,1,1,3,1,3,1,,,
4632,1,1,2,2,2,1,1,,,2,3,,2,,1,2,2,3,,6,,,4,1,,,2,-1,1,1,,,3,1,1,1,,,
4633,,,1,,,,1,1,,2,1,2,1,,,,,,,1,1,2,,1,1,,1,,,1,1,1,1,4,,,,1,
4634,,,3,1,1,,1,1,2,3,3,,,,,2,,3,2,2,,,,,,,2,,,,,,1,1,6,,2,,
4635,10,,,,,,,,2,,14,,,,6,,,,6,,7,,,,,,,,,2,3,8,,4,4,,,6,
4636,,1,1,,3,5,3,4,3,4,2,4,1,,,1,5,1,1,5,3,3,,1,,1,3,1,1,1,3,1,,2,1,7,2,,1
4637,,,,,,,1,6,6,10,,2,,,,,2,,2,10,4,,,,,,,,2,,1,2,8,,8,,1,,
4638,2,,,,2,1,,,,2,,,,1,,,2,,2,2,2,1,,,,2,1,1,,,,,,,2,1,2,,2
4639,2,2,,,1,1,2,2,9,2,1,,1,2,1,2,2,1,3,8,5,,2,1,1,3,1,2,2,,1,18,5,7,1,,,,
4640,,1,,1,2,2,,,1,,3,2,,,,,,,3,,,,,,,,,,,1,,1,1,,4,1,1,,
4641,,,,2,,,,1,,1,1,,,,,,2,,5,,1,,,2,1,,,,,,,4,1,3,,2,,,
4642,1,,2,1,,,1,1,1,,1,,1,,2,1,,,1,3,2,,,,,,1,,,,,1,,1,,1,1,,1
4643,1,1,,1,1,2,2,2,4,5,,1,1,,1,,,,1,3,7,4,1,-1,1,,,,1,,1,,1,1,,2,1,,1
4644,,,2,2,,,,6,18,2,10,2,3,,,1,,4,2,19,8,2,,,2,,,,2,2,4,6,14,21,2,,,4,
4645,,,,1,,,1,,,2,,1,1,,1,,2,1,,2,3,,,1,1,,2,1,1,,,2,,,,1,1,,2
4646,1,4,,3,3,,,1,4,4,5,,5,5,3,7,6,2,,1,5,1,,,7,1,1,4,1,,1,6,,5,6,2,4,2,6
4647,38,6,3,,,,,,6,5,10,28,21,14,5,1,,,1,10,4,2,2,11,11,17,,1,4,,4,7,11,9,24,9,10,5,4
4648,3,12,7,7,,6,6,6,20,16,3,,1,,,2,,2,8,9,9,10,3,,2,2,3,5,,2,2,9,30,8,13,4,6,,
4649,,,,1,,,1,,2,6,,1,,2,,,,,1,2,3,2,,,,2,,1,,,,,4,7,3,,3,,1
4650,,2,,1,1,,4,6,5,4,1,1,2,,1,,1,,5,8,7,4,,1,1,2,2,-1,2,,6,3,4,6,1,3,1,,
4651,,2,,1,2,,3,6,5,3,1,1,1,1,3,,1,,6,8,7,5,,1,1,2,2,-1,2,,,10,5,6,,2,3,,1
4652,1,,1,2,,1,5,5,6,2,4,,1,1,1,1,,2,3,9,5,,1,,,,,2,,1,5,,1,4,2,1,4,,
4653,1,,1,,1,2,3,5,5,2,4,,,2,,1,1,1,3,5,4,,1,,,,,1,,1,3,,,5,1,1,1,,
4654,1,13,10,5,3,7,5,,10,15,4,2,1,4,8,8,6,7,,6,5,3,4,,5,1,10,5,3,7,,,7,10,6,5,,,
4655,,2,3,3,2,5,3,6,12,6,4,1,,1,4,2,4,4,5,6,12,8,,,2,3,1,1,4,1,1,7,13,6,3,3,1,3,1
4656,4,12,4,,4,16,20,8,29,28,16,4,4,9,4,8,6,12,60,32,45,41,,4,4,4,4,,8,,20,24,48,32,32,27,15,8,8
4657,,,1,6,4,2,,2,7,5,7,,,1,,,,,2,4,,,3,3,1,,,,1,,3,1,12,2,,,,,
4658,,,1,2,,,,1,6,,,1,,,1,,1,2,2,1,4,1,,,,,6,,1,,,1,3,4,,,,,1
4659,,2,1,4,,,3,3,2,3,1,1,,2,,1,1,1,3,4,7,1,,1,,,1,,,,3,1,2,9,2,1,,,
4660,3,3,2,6,3,3,7,7,6,1,3,2,2,1,3,,2,,7,8,3,4,2,3,,,5,,1,2,3,5,4,3,7,7,4,,2
4661,,,,,,,13,,6,,6,,,,,,,,18,,6,12,,,,,,6,,,4,,13,,5,,6,,
4662,,,,2,3,1,2,,2,1,,,1,,2,,3,,,1,3,1,3,1,,1,,3,1,2,6,,2,2,,,1,,
4663,,,,2,3,1,2,,2,1,,,1,,2,,3,,,1,3,1,3,1,,1,,3,1,2,6,,2,3,,,,,
4664,,,,,1,1,1,,1,,,1,,3,1,1,,,1,,,,,,1,1,1,,1,,2,,1,1,,1,1,2,1
4665,,2,5,12,5,13,12,4,9,9,,3,2,,2,4,3,9,9,4,,,,,,2,1,2,2,,6,12,8,2,3,4,1,1,
4666,1,2,1,,2,9,17,6,7,4,8,4,2,,,5,5,8,2,11,4,1,3,,2,2,,8,3,,,7,15,15,2,1,,,3
4667,3,2,10,1,4,2,7,4,7,7,4,3,3,3,,7,1,2,11,31,12,6,2,1,1,1,9,2,12,2,15,7,17,13,4,5,6,4,2
4668,,1,,,3,2,2,,4,2,,,,,2,,,3,1,,,,,,,1,,,1,1,,10,2,1,,,,,
4669,,1,,,3,2,2,,5,2,,,,,2,,,3,1,,,,,,,1,,,1,1,,4,2,1,,,,,
4670,,1,1,,2,,2,,4,2,,,,,2,,,2,1,,,,,,,,,,1,1,,3,1,1,,,,,
4671,,1,1,,2,,2,,4,2,,,,,2,,,1,1,,,,,,,5,,,1,1,,3,1,1,,,,,
4672,,1,,,2,1,2,,4,1,1,,,,1,,,1,1,,,,,,,,,,1,,,3,1,,,,,,
4673,,1,,,2,1,2,,4,1,1,,,,1,,,,1,,,,,,,1,,,1,,,3,1,,,,,,
4674,8,1,1,3,2,,2,1,3,2,,6,1,1,,4,5,4,1,1,1,,1,7,1,1,4,5,,1,18,5,6,3,6,3,,,2
4675,,1,1,,1,2,,2,3,3,3,,,3,1,,2,,1,3,4,2,,1,,1,,2,,,1,2,7,6,3,,,,
4676,,,,1,3,,,,,5,1,2,7,4,2,,3,,,5,3,3,1,,2,2,,,1,,4,2,8,9,,,,3,1
4677,,1,,,,1,,4,4,4,1,4,,4,4,14,3,,2,1,6,,,,,1,,,,,6,5,4,,1,1,1,,1
4678,,1,1,,1,2,2,1,1,3,2,,,2,,1,,1,1,3,7,1,1,1,,,,,,,2,1,3,4,1,1,1,,2
4679,2,,1,,1,1,1,1,3,2,,,,,1,2,1,,,5,4,3,,1,,,,1,1,,2,5,3,2,1,1,,,
4680,,,,,,1,,-1,1,,3,,,,,,,,,1,,2,,,,,,2,,,4,2,2,1,1,1,,,
4681,5,1,3,2,3,1,3,2,3,5,6,,1,8,2,3,3,1,3,4,3,4,1,4,1,4,4,1,3,,,2,7,4,5,,1,,
4682,11,15,5,20,6,,4,,45,29,,5,5,3,2,6,8,,14,17,31,8,2,,,12,,14,,,8,6,12,10,14,25,21,,6
4683,,,,,,,,,4,2,,,,,,,,,,1,3,,,,1,,,,1,,,4,1,,1,1,,,
4684,,,,,,,,,2,2,,,,,,,,,,,3,1,,,,,,,1,,,3,,,1,,,,
4685,,,,,1,,,,2,1,,,,1,,,1,,,1,3,2,,,,,,,1,,,2,1,,1,,1,,
4686,1,,,2,1,,,1,,2,1,,,1,,2,,,,,,1,,,1,1,1,,,2,1,,,1,,,3,,2
4687,,6,4,6,5,3,3,1,3,6,9,12,,6,3,9,3,6,12,15,9,3,7,6,6,1,,3,9,12,14,3,9,6,3,4,6,3,3
4688,-4,40,30,46,39,36,48,26,36,84,40,40,20,27,29,46,63,30,44,66,51,48,23,23,21,12,28,26,41,31,17,20,39,80,21,6,2,,1
4689,1,1,,1,,,,1,1,1,1,,,2,,1,,1,1,,,,,,,,1,4,1,,,1,2,,,1,1,,1
4690,2,,,,2,4,2,,,,,,4,,,3,1,,,3,,6,,3,,1,,,1,,,,2,,,,8,7,
4691,1,4,2,6,7,2,,3,6,4,5,1,,2,3,10,6,6,3,11,2,1,2,,1,3,1,4,3,,2,15,5,7,2,6,3,,2
4692,3,1,2,4,1,1,1,,1,,6,5,3,6,1,2,,1,,2,2,3,,2,,2,4,1,1,,,,,3,2,3,3,2,3
4693,,3,7,,1,1,1,2,5,3,2,1,,2,4,5,3,1,5,6,8,1,1,1,1,,2,1,2,5,25,7,5,1,3,,,,1
4694,,,1,1,,1,,,2,3,,,,,,,,,,2,1,3,,,,,,1,,2,,,,2,,1,1,1,
4695,,,1,1,,2,1,1,4,2,1,,,1,1,1,,,1,1,2,3,1,1,,,,1,2,3,,,1,2,1,1,1,,
4696,,6,,10,,9,,,16,6,,2,,,,8,,,,8,6,6,,,,1,,,,8,3,9,10,2,4,9,7,,
4697,1,5,19,3,1,3,4,3,6,17,2,4,1,7,2,2,4,5,14,6,1,,3,4,1,5,1,2,2,6,1,1,,,,1,3,2,
