Артикул,01.06.2020,01.07.2020,01.08.2020,01.09.2020,01.10.2020,01.11.2020,01.12.2020,01.01.2021,01.02.2021,01.03.2021,01.04.2021,01.05.2021,01.06.2021,01.07.2021,01.08.2021,01.09.2021,01.10.2021,01.11.2021,01.12.2021,01.01.2022,01.02.2022,01.03.2022,01.04.2022,01.05.2022,01.06.2022,01.07.2022,01.08.2022,01.09.2022,01.10.2022,01.11.2022,01.12.2022,01.01.2023,01.02.2023,01.03.2023,01.04.2023,01.05.2023,01.06.2023,01.07.2023,01.08.2023
145,,,,,,,,,,5,,,20,,10,4,,1,,,,,,,,,,6,,,,,,18,,1,,23,3
146,7,,,,9,,4,8,4,4,,,3,,1,4,,4,12,4,8,,,,10,,,4,4,,8,10,,,4,,12,,
147,,,,,,,,,,,1,,,,,,,,4,,,,,,24,,,,1,2,,,6,,,3,,,3
148,,,,,,,1,4,4,,1,2,,3,1,4,,,-3,10,2,,,,1,,6,4,,,,,11,,4,,2,,
149,,,10,,,,,,,20,,,,,,,,,,,,12,,,,,,,,,,,17,,,,,40,
150,30,249,562,265,25,216,166,190,599,280,93,,50,30,337,522,108,100,355,115,128,376,,35,,82,565,351,37,242,200,40,276,138,157,,14,2,53
151,30,249,494,265,50,116,164,181,616,246,93,133,52,30,326,512,149,90,635,363,233,360,,35,,80,545,401,44,286,120,418,226,114,157,,26,15,196
152,3,19,67,139,116,43,29,53,200,30,5,31,12,35,98,137,50,12,32,6,49,127,11,20,,6,86,29,18,10,25,20,5,89,15,1,,35,50
153,,28,8,,,12,32,,4,32,20,,12,16,4,12,10,,8,,,4,,,,20,,,,4,12,36,,9,,,,,16
154,,2,2,,,,,,2,4,8,,,,,,,,,4,,,6,6,,,,,,,,,,12,4,2,2,8,
155,24,24,12,12,12,12,12,12,,12,36,12,36,,,12,,36,48,12,52,12,14,12,12,18,12,36,24,36,24,24,48,24,24,41,1,4,25
156,,,7,,,,,,19,10,,,,3,,,,,26,16,9,7,7,,2,,,5,13,,,,,29,20,,,,
157,6,4,,4,2,,6,8,,6,,,2,2,,2,,2,4,3,,4,2,1,2,,,2,,,,6,4,9,,,,,3
158,417,,71,70,,,,120,210,,230,253,480,155,78,160,,,390,,100,,210,70,75,,,,,490,282,120,70,130,281,79,,89,60
159,,4,6,2,2,4,4,4,,4,4,8,2,4,2,12,2,4,10,,6,,14,5,14,4,2,,,,,,1,3,4,,,,12
160,2,,2,,3,,,,,,6,9,,,,,,12,1,15,1,2,4,6,4,1,3,,,,4,3,6,,14,2,2,2,3
161,,6,,,,,2,1,,8,13,9,2,,2,2,1,,,6,2,2,,,,1,,,,1,,1,3,2,,,,,66
162,1,,,,,,,,,,2,10,8,2,,,,1,4,7,,,1,3,2,,,,,,2,1,1,,4,,,,
163,,5,40,,,8,8,,,,5,25,143,135,48,85,,,,20,,200,,150,28,-189,,,8,,,80,,2,20,7,38,67,2
164,45,2,24,,,,,,,2,,,10,21,20,,,,4,,,,,10,30,5,10,,,50,,,,6,51,9,1,2,
165,179,,,,,,,,4,8,2,26,,,,,,,14,,,4,2,,,,,,,,10,,2,4,,50,,,
166,,2,1,,,,1,4,1,,1,1,,,1,1,,,,,5,,1,,3,,6,,2,2,1,,,3,,,,,
167,,2,,2,,2,6,,6,4,2,4,,2,2,,2,,,2,,3,2,,,,2,-2,2,,,6,2,4,2,,2,,4
168,21,20,,,,,,,,,36,25,22,24,,,,,,,,50,,60,18,-50,,,,,,70,,,,3,10,,
169,10,6,4,12,4,6,8,,4,,,,,,20,14,,9,12,3,19,,,6,,,,,,,,36,7,14,1,,3,60,16
170,,,,2,3,,,,,,1,,8,24,2,8,,4,,8,,12,,,,,4,,,,,8,8,12,8,,,8,16
171,431,240,16,1,,180,300,4,1,9,8,241,60,9,125,90,20,68,63,6,140,,4,180,,,5,,4,,63,4,,1,4,3,120,,8
172,,1,,1,1,,,,,,1,1,,2,1,1,2,,6,2,3,2,4,,,,,2,,2,2,2,4,6,6,,2,,
173,14,,,6,,,1,124,42,7,5,47,32,,1,6,5,,4,30,32,,4,,,2,4,,36,,5,,16,10,,,2,40,40
174,3,1,,,,,,1,,1,4,1,1,9,2,,,1,,3,2,1,2,,1,,1,1,,,2,1,3,7,2,,,6,54
175,,,,,,,,1,,,,,,9,,,,,,,,,,,,,32,,,,,10,8,2,8,8,,,
176,8,,,,,,2,2,,,,,,,8,,,6,,5,,,,,,6,,,,,4,,6,,4,2,,,
177,,12,12,12,12,12,,36,50,32,18,,34,12,,8,12,12,44,30,60,22,36,48,72,,12,,12,24,48,24,,36,,25,12,24,
178,66,35,,,,,,,26,3,30,24,30,52,,60,,,,15,20,,37,35,40,56,,,,,90,41,,51,25,5,,14,
179,11,1,1,,,,,,,3,9,4,7,6,,,2,2,3,4,4,4,7,24,1,2,,,,,6,3,8,3,14,3,2,2,
180,,89,,,,,,,,216,31,10,90,70,,30,,4,,,,,,50,62,133,64,10,,,,,34,,84,28,2,,
181,,12,4,,,,,,60,18,2,,12,,,4,2,32,28,,16,,28,,14,,12,12,,24,24,12,,12,,,,36,8
182,,,,,,,,,,,,,12,,,,,,22,,,,18,,,,,,,22,22,22,,,4,,,,
183,,2,,4,,18,10,,6,2,5,,6,3,4,2,,3,4,5,6,,,,6,,3,,,,6,,3,8,8,2,,,
184,,6,3,18,15,,13,15,13,4,4,,5,23,13,17,11,6,3,9,14,1,10,9,16,3,2,3,4,8,17,2,9,5,12,10,10,22,1
185,,,5,,,,10,,19,4,8,5,,11,36,5,13,,20,5,,1,7,11,,,2,,,8,,,9,26,3,,,1,2
186,,,,,,,1,,2,4,,3,,72,,,,,,,1,,,,3,,,4,,,,,,,16,,3,6,
187,48,,124,64,2,20,12,22,18,,8,20,30,9,8,1,8,8,9,23,13,32,,,72,-72,80,16,16,,,72,4,16,,,,,
188,32,4,12,,4,,39,14,64,58,74,44,10,,,10,,4,,,7,,36,185,24,5,,2,,12,104,,18,6,34,24,52,,116
189,5,,2,7,,,10,3,11,,5,6,9,,5,12,1,,3,16,19,4,38,9,14,,,6,,4,6,10,15,13,6,4,65,24,
190,13,12,,8,10,1,3,8,6,6,14,15,26,57,11,1,2,,1,14,10,7,3,12,86,3,32,,,,17,8,7,65,24,56,21,34,36
191,,34,28,8,4,6,8,11,26,9,4,21,91,22,3,7,16,,17,28,22,7,21,33,14,4,8,,12,12,10,8,11,23,42,26,18,15,6
192,3,13,78,,9,6,4,3,27,16,78,66,81,107,22,9,1,8,,82,101,32,79,57,78,,4,2,2,,343,12,1,176,48,76,199,118,21
193,,4,,2,,,1,4,4,,3,18,16,4,,12,4,4,8,,8,1,2,28,2,,,,,10,8,,,4,4,3,8,,
194,18,12,8,9,10,22,17,12,43,19,29,6,29,14,2,19,6,20,19,20,36,57,22,19,13,,,9,10,13,50,14,55,45,23,18,35,9,
195,6,,3,,,,11,6,13,,8,34,5,,8,3,6,17,9,15,18,56,8,9,,2,2,9,,4,9,9,11,73,,20,-13,52,26
196,2,1,2,4,24,1,2,1,12,5,1,24,17,2,2,6,,4,5,3,9,7,9,,11,19,1,1,2,,1,5,4,29,6,17,12,,24
197,2,,,1,2,,4,,1,15,5,4,18,,,1,,,1,,6,,,1,3,1,,,,,1,,,,,3,4,,4
198,2,8,10,21,1,,23,20,31,36,15,3,2,13,20,29,2,14,3,16,24,31,9,,19,6,16,17,,15,2,2,13,16,34,1,30,3,
199,,,,,,2,,,2,2,7,,,,,2,7,,,,2,4,2,5,,,,2,2,,,,,,,,2,2,
200,4,,17,6,4,3,4,8,,10,2,10,,,4,4,1,1,3,3,6,14,4,,4,,2,2,2,1,4,,3,7,2,5,2,2,
201,3,,,19,,4,,1,9,3,8,8,,,1,4,2,,9,2,14,16,10,,1,,3,,,,1,,13,8,,8,,,
202,,3,,,,13,,,,2,,,,4,,,,,,,5,,,,,,,,,,1,,4,,21,,4,,
